,Indonesian,English
0,jika,a
1,sebuah,a
2,beberapa,some
3,atau,or
4,banyak,many
5,dunia,world
6,karena,because
7,menjadi,Becomes
8,dapat,could
9,lain,other
10,benar,correct
11,oleh,by
12,sebagai,as
13,bintang,star
14,melihat,look
15,aku,I
16,luar,outer
17,alam,natural
18,dia,he
19,tahu,Tofu
20,hidup,life
21,jadi,so
22,apakah,is
23,manusia,human
24,sama,same
25,sekarang,now
26,datang,come
27,harus,should
28,bagaimana,How
29,hari,day
30,ketika,when
31,sini,here
32,narator,narrator
33,tempat,the place
34,salah,false
35,yang,that
36,dan,and
37,di,in
38,ini,this
39,untuk,for
40,mereka,they
41,kita,we
42,adalah,is
43,tidak,no
44,itu,that
45,akan,will
46,dalam,in
47,bahwa,that
48,dengan,with
49,anda,you
50,ada,there is
51,saya,me
52,pada,on
53,kami,we
54,ke,to
55,lebih,more
56,seperti,as
57,planet,planet
58,apa,What
59,satu,one
60,tahun,year
61,hal,Thing
62,tapi,but
63,bumi,earth
64,besar,big
65,sangat,very
66,bisa,can
67,semua,all
68,mungkin,maybe
69,hanya,only
70,orang,person
71,memiliki,have
72,jika,if
73,membuat,make
74,sendiri,alone
75,tentang,about
76,semesta,universal
77,sistem,system
78,tetapi,but
79,mana,what
80,waktu,time
81,bulan,month
82,terjadi,occur
83,paling,most
84,menemukan,find
85,pergi,go
86,kehidupan,life
87,baru,new
88,air,water
89,setiap,every
90,kecil,small
91,juga,too
92,sesuatu,something
93,cara,way
94,baik,well
95,bahkan,even
96,sekitar,around
97,kemudian,then
98,ia,he
99,kembali,back
100,jauh,far
101,matahari,sun
102,seluruh,all
103,saat,time
104,surya,Sun
105,kuno,ancient
106,lalu,then
107,mulai,start
108,pernah,ever
109,pertama,first
110,angkasa,space
111,ruang,room
112,begitu,so
113,selama,During
114,saja,just
115,makhluk,creature
116,keluar,Exit
117,cahaya,light
118,bagian,part
119,bekerja,work
120,menarik,interesting
121,jenis,type
122,permukaan,surface
123,ufo,ufo
124,antara,Among
125,berpikir,think
126,ditemukan,found
127,masih,still
128,sudah,already
129,percaya,believe
130,gas,gas
131,masyarakat,Public
132,kali,time
133,mendapatkan,got
134,aneh,strange
135,penting,urgent
136,bentuk,shape
137,teori,theory
138,para,the
139,sumber,source
140,masalah,problem
141,perjalanan,travel
142,mars,Mars
143,langit,sky
144,ilmuwan,scientists
145,kau,you
146,dekat,close
147,sebenarnya,in fact
148,nya,his
149,menggunakan,use
150,awal,early
151,amerika,America
152,berbeda,different
153,menciptakan,create
154,tanpa,without
155,juta,million
156,sehingga,so that
157,berarti,mean
158,menunjukkan,show
159,berada,be
160,tak,not
161,suatu,something
162,pesawat,plane
163,bukti,Proof
164,atas,on
165,cukup,enough
166,tata,system
167,melakukan,To do
168,energi,energy
169,bawah,under
170,biasa,ordinary
171,bagi,for
172,hampir,almost
173,teknologi,technology
174,sana,there
175,gravitasi,gravitation
176,uang,money
177,ingin,want
178,lagi,again
179,pikir,think
180,sampai,to
181,mengapa,Why
182,laut,sea
183,setelah,after
184,secara,in
185,disebut,called
186,mengambil,take
187,sedikit,a little
188,seorang,a
189,mengatakan,say
190,panas,hot
191,namun,however
192,dua,two
193,melalui,through
194,asing,foreign
195,pemerintah,government
196,tentu,of course
197,kekuatan,power
