Indonesian,English
jika,a
sebuah,a
beberapa,some
atau,or
banyak,many
dunia,world
karena,because
menjadi,Becomes
dapat,could
lain,other
benar,correct
oleh,by
sebagai,as
bintang,star
melihat,look
aku,I
luar,outer
alam,natural
dia,he
tahu,Tofu
hidup,life
jadi,so
apakah,is
manusia,human
sama,same
sekarang,now
datang,come
harus,should
bagaimana,How
hari,day
ketika,when
sini,here
narator,narrator
tempat,the place
salah,false
yang,that
dan,and
di,in
ini,this
untuk,for
mereka,they
kita,we
dari,from
adalah,is
tidak,no
itu,that
akan,will
dalam,in
bahwa,that
dengan,with
anda,you
ada,there is
saya,me
pada,on
kami,we
ke,to
lebih,more
telah,already
seperti,as
planet,planet
apa,What
satu,one
tahun,year
hal,Thing
tapi,but
bumi,earth
besar,big
sangat,very
bisa,can
semua,all
mungkin,maybe
hanya,only
orang,person
memiliki,have
jika,if
membuat,make
sendiri,alone
tentang,about
semesta,universal
sistem,system
tetapi,but
mana,what
waktu,time
bulan,month
terjadi,occur
paling,most
menemukan,find
pergi,go
kehidupan,life
baru,new
air,water
setiap,every
kecil,small
juga,too
sesuatu,something
cara,way
baik,well
bahkan,even
sekitar,around
kemudian,then
ia,he
kembali,back
jauh,far
matahari,sun
seluruh,all
saat,time
surya,Sun
kuno,ancient
lalu,then
mulai,start
pernah,ever
pertama,first
angkasa,space
ruang,room
begitu,so
selama,During
saja,just
makhluk,creature
keluar,Exit
cahaya,light
bagian,part
bekerja,work
menarik,interesting
jenis,type
permukaan,surface
ufo,ufo
antara,Among
berpikir,think
ditemukan,found
masih,still
sudah,already
percaya,believe
gas,gas
masyarakat,Public
kali,time
mendapatkan,got
bukan,not
aneh,strange
penting,urgent
bentuk,shape
teori,theory
para,the
sumber,source
masalah,problem
perjalanan,travel
mars,Mars
langit,sky
ilmuwan,scientists
kau,you
dekat,close
sebenarnya,in fact
nya,his
menggunakan,use
awal,early
amerika,America
berbeda,different
menciptakan,create
tanpa,without
juta,million
sehingga,so that
berarti,mean
menunjukkan,show
berada,be
tak,not
suatu,something
pesawat,plane
bukti,Proof
atas,on
cukup,enough
tata,system
melakukan,To do
energi,energy
bawah,under
biasa,ordinary
bagi,for
hampir,almost
teknologi,technology
sana,there
gravitasi,gravitation
uang,money
ingin,want
lagi,again
pikir,think
sampai,to
mengapa,Why
laut,sea
setelah,after
secara,in
disebut,called
mengambil,take
sedikit,a little
seorang,a
mengatakan,say
panas,hot
namun,however
dua,two
melalui,through
asing,foreign
pemerintah,government
tentu,of course
kekuatan,power
